name, correct, per
vowels_reason0.4,281,1.0
vowels_reason0.4,280,0.99644128113879
vowels_reason0.4,281,1.0
vowels_reason0.4,281,1.0
vowels_reason0.4,281,1.0
vowels_reason0.4,281,1.0
vowels_reason0.6,281,1.0
vowels_reason0.6,281,1.0
vowels_reason0.6,281,1.0
vowels_reason0.6,281,1.0
vowels_reason0.6,281,1.0
vowels_reason0.6,281,1.0
vowels_reason0.6,281,1.0
vowels_reason0.6,281,1.0
vowels_reason0.6,281,1.0
vowels_reason0.6,280,0.99644128113879
vowels_reason0.8,281,1.0
vowels_reason0.8,281,1.0
vowels_reason0.8,281,1.0
vowels_reason0.8,281,1.0
vowels_reason0.8,281,1.0
vowels_reason0.8,281,1.0
vowels_reason0.8,281,1.0
vowels_reason0.8,281,1.0
vowels_reason0.8,281,1.0
vowels_reason0.8,281,1.0
cardio,325,0.9818731117824774
